Frame,Start Time,End Time,Type,Delay (ms)
226,2024-11-11 18:11:20.905235,2024-11-11 18:11:20.911983,Predicted,6.747999999999999
227,2024-11-11 18:11:20.911983,2024-11-11 18:11:20.911983,Predicted,0.0
228,2024-11-11 18:11:20.911983,2024-11-11 18:11:20.911983,Predicted,0.0
229,2024-11-11 18:11:20.911983,2024-11-11 18:11:20.920531,Predicted,8.548
230,2024-11-11 18:11:20.920531,2024-11-11 18:11:20.920531,Predicted,0.0
231,2024-11-11 18:11:20.927818,2024-11-11 18:11:20.930587,Predicted,2.769
232,2024-11-11 18:11:20.930587,2024-11-11 18:11:20.930587,Predicted,0.0
233,2024-11-11 18:11:20.930587,2024-11-11 18:11:20.930587,Predicted,0.0
234,2024-11-11 18:11:20.930587,2024-11-11 18:11:20.940410,Predicted,9.823
235,2024-11-11 18:11:20.940410,2024-11-11 18:11:20.944024,Predicted,3.614
236,2024-11-11 18:11:20.947030,2024-11-11 18:11:20.950315,Predicted,3.285
237,2024-11-11 18:11:20.950315,2024-11-11 18:11:20.950315,Predicted,0.0
238,2024-11-11 18:11:20.950315,2024-11-11 18:11:20.950315,Predicted,0.0
239,2024-11-11 18:11:20.950315,2024-11-11 18:11:20.960365,Predicted,10.05
240,2024-11-11 18:11:20.960365,2024-11-11 18:11:20.960365,Predicted,0.0
241,2024-11-11 18:11:20.960365,2024-11-11 18:11:20.970332,Predicted,9.967
242,2024-11-11 18:11:20.970332,2024-11-11 18:11:20.970332,Predicted,0.0
243,2024-11-11 18:11:20.970332,2024-11-11 18:11:20.977665,Predicted,7.333
244,2024-11-11 18:11:20.977665,2024-11-11 18:11:20.980436,Predicted,2.771
245,2024-11-11 18:11:20.980436,2024-11-11 18:11:20.980436,Predicted,0.0
246,2024-11-11 18:11:20.980436,2024-11-11 18:11:20.980436,Predicted,0.0
247,2024-11-11 18:11:20.980436,2024-11-11 18:11:20.993099,Predicted,12.663
248,2024-11-11 18:11:20.993099,2024-11-11 18:11:20.993099,Predicted,0.0
249,2024-11-11 18:11:20.993099,2024-11-11 18:11:21.000405,Predicted,7.306
250,2024-11-11 18:11:21.000405,2024-11-11 18:11:21.005523,Predicted,5.118
251,2024-11-11 18:11:22.190679,2024-11-11 18:11:22.205251,Client,14.572
252,2024-11-11 18:11:22.241013,2024-11-11 18:11:22.252387,Client,11.374
253,2024-11-11 18:11:22.290395,2024-11-11 18:11:22.300310,Client,9.915000000000001
254,2024-11-11 18:11:22.340378,2024-11-11 18:11:22.350408,Client,10.030000000000001
255,2024-11-11 18:11:22.386352,2024-11-11 18:11:22.400517,Client,14.165000000000001
256,2024-11-11 18:11:22.436711,2024-11-11 18:11:22.450450,Client,13.738999999999999
257,2024-11-11 18:11:22.488344,2024-11-11 18:11:22.498010,Client,9.665999999999999
258,2024-11-11 18:11:22.533785,2024-11-11 18:11:22.545288,Client,11.503
259,2024-11-11 18:11:22.586350,2024-11-11 18:11:22.590645,Client,4.295
260,2024-11-11 18:11:22.635300,2024-11-11 18:11:22.640598,Client,5.298
261,2024-11-11 18:11:22.682728,2024-11-11 18:11:22.695591,Client,12.863
262,2024-11-11 18:11:22.732173,2024-11-11 18:11:22.740460,Client,8.286999999999999
263,2024-11-11 18:11:22.778582,2024-11-11 18:11:22.780473,Client,1.891
264,2024-11-11 18:11:22.826401,2024-11-11 18:11:22.830663,Client,4.2620000000000005
265,2024-11-11 18:11:22.873400,2024-11-11 18:11:22.885218,Client,11.818
266,2024-11-11 18:11:22.923737,2024-11-11 18:11:22.936291,Client,12.553999999999998
